Common Name,Binomial Name,Genus,Species,Sub-Species,Kingdom Name,Nativeness,Book Category,seen wild locally,photo,uncertain,notes
Arboreal Salamander,Aneides lugubris,Aneides,lugubris,,Animals,Local Native,Amphibians,Yes,Untitled 2.png,No,
Santa Cruz Black Salamander,Aneides niger,Aneides,niger,,Animals,Local Native,Amphibians,Yes,Untitled 3.png,No,
Acorn Woodpecker,Melanerpes formicivorus,Melanerpes,formicivorus,,Animals,Local Native,Birds,Yes,Untitled 3 1.png,No,
Allen’s Hummingbird,Selasphorus sasin,Selasphorus,sasin,,Animals,Local Native,Birds,Yes,,No,
American Crow,Corvus brachyrhynchos,Corvus,brachyrhynchos,,Animals,Local Native,Birds,Yes,,No,
American Robin,Turdus migratorius,Turdus,migratorius,,Animals,Local Native,Birds,Yes,,No,
Anna’s Hummingbird,Calypte anna,Calypte,anna,,Animals,Local Native,Birds,Yes,,No,
Ash-throated Flycatcher,Myiarchus cinerascens,Myiarchus,cinerascens,,Animals,Local Native,Birds,Yes,Untitled 4.png; IMG_6847.HEIC,No,
Band-tailed Pigeon,Patagioenas fasciata,Patagioenas,fasciata,,Animals,Local Native,Birds,Yes,,No,
Bewick’s Wren,Thryomanes bewickii,Thryomanes,bewickii,,Animals,Local Native,Birds,Yes,,No,
Black Phoebe,Sayornis nigricans,Sayornis,nigricans,,Animals,Local Native,Birds,Yes,,No,
Black-headed Grosbeak,Pheucticus melanocephalus,Pheucticus,melanocephalus,,Animals,Local Native,Birds,Yes,Untitled.png,No,
Black-throated Gray Warbler,Setophaga nigrescens,Setophaga,nigrescens,,Animals,Local Native,Birds,Yes,,No,
Blue-gray Gnatcatcher,Polioptila caerulea,Polioptila,caerulea,,Animals,Local Native,Birds,Yes,,No,
Brown Creeper,Certhia americana,Certhia,americana,,Animals,Local Native,Birds,Yes,,No,
Bushtit,Psaltriparus minimus,Psaltriparus,minimus,,Animals,Local Native,Birds,Yes,,No,
California Quail,Callipepla californica,Callipepla,californica,,Animals,Local Native,Birds,Yes,,No,
California Scrub-Jay,Aphelocoma californica,Aphelocoma,californica,,Animals,Local Native,Birds,Yes,,No,
California Thrasher,Toxostoma redivivum,Toxostoma,redivivum,,Animals,Local Native,Birds,Yes,,No,
California Towhee,Melozone crissalis,Melozone,crissalis,,Animals,Local Native,Birds,Yes,,No,
Cedar Waxwing,Bombycilla cedrorum,Bombycilla,cedrorum,,Animals,Local Native,Birds,Yes,Untitled 3 2.png,No,
Chestnut-backed Chickadee,Poecile rufescens,Poecile,rufescens,,Animals,Local Native,Birds,Yes,,No,
Common Raven,Corvus corax,Corvus,corax,,Animals,Local Native,Birds,Yes,,No,
Dark-eyed Junco,Junco hyemalis,Junco,hyemalis,,Animals,Local Native,Birds,Yes,,No,
Golden-crowned Sparrow,Zonotrichia atricapilla,Zonotrichia,atricapilla,,Animals,Local Native,Birds,Yes,,No,
Great Horned Owl,Bubo virginianus,Bubo,virginianus,,Animals,Local Native,Birds,Yes,Untitled 3 3.png,No,
Hairy Woodpecker,Leuconotopicus villosus,Leuconotopicus,villosus,,Animals,Local Native,Birds,Yes,,No,
Hermit Thrush,Catharus guttatus,Catharus,guttatus,,Animals,Local Native,Birds,Yes,,No,
House Finch,Haemorhous mexicanus,Haemorhous,mexicanus,,Animals,Local Native,Birds,Yes,Untitled 3 4.png,No,
Lesser Goldfinch,Spinus psaltria,Spinus,psaltria,,Animals,Local Native,Birds,Yes,Untitled 3 5.png,No,
Mourning Dove,Zenaida macroura,Zenaida,macroura,,Animals,Local Native,Birds,Yes,,No,
Northern Flicker,Colaptes auratus,Colaptes,auratus,,Animals,Local Native,Birds,Yes,,No,
Nuttal’s Woodpecker,Dryobates nuttallii,Dryobates,nuttallii,,Animals,Local Native,Birds,Yes,,No,
Oak Titmouse,Baeolophus inornatus,Baeolophus,inornatus,,Animals,Local Native,Birds,Yes,Untitled 3 6.png,No,
Olive-sided Flycatcher,Contopus cooperi,Contopus,cooperi,,Animals,Local Native,Birds,Yes,,No,
Pileated Woodpecker,Dryocopus pileatus,Dryocopus,pileatus,,Animals,Local Native,Birds,Yes,Untitled 3-1.png; Untitled 3 7.png,No,
